,Symbol,stat,log2FoldChange,padj
2215,FCGR3B,6.305077917212713,6.625646523588348,2.908202884330879e-06
3067,HDC,6.248099366116102,4.072079330791792,2.908202884330879e-06
59340,HRH4,6.3754862652429,7.772302602456221,2.908202884330879e-06
10253,SPRY2,5.996378954255935,2.819961537624959,1.059220414492711e-05
7850,IL1R2,5.70764491850892,5.678383025866644,3.9228322261145996e-05
2119,ETV5,5.469719703233648,2.9890198688228073,0.00011831567841030376
6506,SLC1A2,5.408272851504525,3.991806821019227,0.0001336280351849537
2920,CXCL2,5.318597345816948,5.2697298353041315,0.0001996246404311874
6286,S100P,5.1306388382711265,4.483215060396439,0.0004580764250345146
339855,KY,5.120084473634999,3.5672505115335826,0.0004580764250345146
